Change in OI,Close,Date,Expiry,High,Low,Open,Open Int,Strike Price,Underlying Value,index,ttm
-560.0,280.4,2016-12-21,2016-12-29,356.6,270.1,313.1,2280.0,17900.0,18084.5,27707.0,8.0
-18560.0,214.65,2016-12-21,2016-12-29,285.15,201.25,244.65,140240.0,18000.0,18084.5,27708.0,8.0
12360.0,158.7,2016-12-21,2016-12-29,218.15,140.85,190.9,54800.0,18100.0,18084.5,27709.0,8.0
80.0,623.05,2016-12-21,2016-12-29,710.05,615.0,631.1,72400.0,17500.0,18084.5,27710.0,8.0
49040.0,3.1,2016-12-21,2016-12-22,17.0,2.2,10.0,636560.0,18400.0,18084.5,27711.0,1.0
200.0,399.55,2016-12-21,2016-12-22,450.0,397.35,399.7,280.0,17700.0,18084.5,27712.0,1.0
120.0,280.3,2016-12-21,2016-12-22,361.25,265.0,299.35,1760.0,17800.0,18084.5,27713.0,1.0
30160.0,117.1,2016-12-21,2016-12-22,199.9,101.1,127.1,123200.0,18000.0,18084.5,27714.0,1.0
62640.0,58.9,2016-12-21,2016-12-22,126.0,48.2,88.45,249960.0,18100.0,18084.5,27715.0,1.0
94240.0,24.55,2016-12-21,2016-12-22,71.05,20.05,59.2,484560.0,18200.0,18084.5,27716.0,1.0
308320.0,8.5,2016-12-21,2016-12-22,36.35,6.65,26.5,841480.0,18300.0,18084.5,27717.0,1.0
4480.0,825.5,2016-12-21,2017-01-25,885.0,820.0,850.0,8360.0,17500.0,18084.5,27724.0,35.0
14560.0,469.5,2016-12-21,2017-01-25,524.0,458.95,497.95,56720.0,18000.0,18084.5,27725.0,35.0
160.0,373.0,2016-12-21,2017-01-25,400.25,346.6,399.9,4400.0,18200.0,18084.5,27726.0,35.0
2560.0,221.25,2016-12-21,2017-01-25,255.0,210.65,236.45,86520.0,18500.0,18084.5,27727.0,35.0
40.0,126.0,2016-12-21,2017-01-25,127.0,125.0,127.0,120.0,18800.0,18084.5,27728.0,35.0
200.0,307.0,2016-12-21,2017-01-25,403.35,307.0,403.3,640.0,18300.0,18084.5,27730.0,35.0
40.0,100.0,2016-12-21,2017-01-05,100.0,100.0,100.0,40.0,18600.0,18084.5,27731.0,15.0
17320.0,162.1,2016-12-22,2017-01-25,198.6,150.2,195.05,103840.0,18500.0,17891.45,27744.0,34.0
120.0,195.0,2016-12-22,2017-01-25,200.0,195.0,200.0,120.0,18400.0,17891.45,27745.0,34.0
440.0,225.0,2016-12-22,2017-01-25,306.8,213.4,213.4,1080.0,18300.0,17891.45,27746.0,34.0
-1640.0,275.85,2016-12-22,2017-01-25,320.0,258.85,320.0,2760.0,18200.0,17891.45,27747.0,34.0
40000.0,371.85,2016-12-22,2017-01-25,444.9,354.25,438.75,96720.0,18000.0,17891.45,27748.0,34.0
400.0,433.4,2016-12-22,2017-01-25,460.0,348.65,460.0,400.0,17900.0,17891.45,27749.0,34.0
45400.0,682.6,2016-12-22,2017-01-25,745.0,663.3,739.5,53760.0,17500.0,17891.45,27750.0,34.0
-25840.0,6.45,2016-12-22,2016-12-29,16.1,5.8,16.1,166520.0,18600.0,17891.45,27761.0,7.0
4600.0,10.15,2016-12-22,2016-12-29,25.5,9.15,25.5,685840.0,18500.0,17891.45,27762.0,7.0
30280.0,16.45,2016-12-22,2016-12-29,38.45,14.65,34.2,272160.0,18400.0,17891.45,27763.0,7.0
181520.0,27.0,2016-12-22,2016-12-29,60.0,23.5,54.0,306280.0,18300.0,17891.45,27764.0,7.0
188960.0,46.3,2016-12-22,2016-12-29,93.05,39.0,93.05,341040.0,18200.0,17891.45,27765.0,7.0
108480.0,74.7,2016-12-22,2016-12-29,131.05,62.5,115.15,163280.0,18100.0,17891.45,27766.0,7.0
216840.0,114.6,2016-12-22,2016-12-29,182.2,98.35,173.55,357080.0,18000.0,17891.45,27767.0,7.0
67360.0,161.15,2016-12-22,2016-12-29,229.25,142.7,222.0,69640.0,17900.0,17891.45,27768.0,7.0
13800.0,225.85,2016-12-22,2016-12-29,310.95,195.9,299.35,15920.0,17800.0,17891.45,27769.0,7.0
5760.0,288.45,2016-12-22,2016-12-29,368.0,264.35,368.0,6040.0,17700.0,17891.45,27770.0,7.0
2720.0,386.4,2016-12-22,2016-12-29,402.8,332.0,384.5,3120.0,17600.0,17891.45,27771.0,7.0
-1560.0,446.05,2016-12-22,2016-12-29,555.05,415.25,555.05,70840.0,17500.0,17891.45,27772.0,7.0
360.0,549.05,2016-12-22,2016-12-29,593.75,497.6,593.75,2240.0,17400.0,17891.45,27773.0,7.0
40.0,708.95,2016-12-22,2016-12-29,708.95,708.95,708.95,1120.0,17200.0,17891.45,27774.0,7.0
10760.0,49.2,2016-12-22,2017-01-05,71.0,44.2,71.0,11320.0,18500.0,17891.45,27779.0,14.0
-4600.0,0.05,2016-12-22,2016-12-22,0.4,0.05,0.4,344160.0,18600.0,17891.45,27801.0,0.0
-56880.0,0.05,2016-12-22,2016-12-22,0.7,0.05,0.45,673520.0,18500.0,17891.45,27802.0,0.0
47040.0,0.05,2016-12-22,2016-12-22,1.3,0.05,0.7,683600.0,18400.0,17891.45,27803.0,0.0
178080.0,0.05,2016-12-22,2016-12-22,3.75,0.05,3.75,1019560.0,18300.0,17891.45,27804.0,0.0
974640.0,0.05,2016-12-22,2016-12-22,15.0,0.05,14.7,1459200.0,18200.0,17891.45,27805.0,0.0
1061120.0,0.05,2016-12-22,2016-12-22,32.85,0.05,32.85,1311080.0,18100.0,17891.45,27806.0,0.0
1370080.0,0.1,2016-12-22,2016-12-22,100.0,0.05,100.0,1493280.0,18000.0,17891.45,27807.0,0.0
662560.0,1.05,2016-12-22,2016-12-22,141.5,0.05,141.0,667080.0,17900.0,17891.45,27808.0,0.0
1760.0,79.8,2016-12-22,2016-12-22,221.0,66.35,221.0,3520.0,17800.0,17891.45,27809.0,0.0
200.0,178.95,2016-12-22,2016-12-22,280.0,156.2,280.0,480.0,17700.0,17891.45,27810.0,0.0
40.0,279.5,2016-12-22,2016-12-22,282.0,277.0,277.95,80.0,17600.0,17891.45,27811.0,0.0
40.0,376.5,2016-12-22,2016-12-22,376.5,376.5,376.5,80.0,17500.0,17891.45,27812.0,0.0
40.0,110.0,2016-12-22,2017-01-05,110.0,110.0,110.0,40.0,18200.0,17891.45,27816.0,14.0
1680.0,192.8,2016-12-22,2017-01-05,216.1,182.7,211.15,1680.0,18000.0,17891.45,27817.0,14.0
40.0,490.0,2016-12-23,2017-01-25,490.0,490.0,490.0,40.0,17800.0,17884,27819.0,33.0
400.0,394.75,2016-12-23,2017-01-25,442.7,394.75,422.0,800.0,17900.0,17884,27820.0,33.0
29120.0,347.45,2016-12-23,2017-01-25,398.9,332.0,363.8,125840.0,18000.0,17884,27821.0,33.0
40.0,244.1,2016-12-23,2017-01-25,289.45,225.85,255.0,2800.0,18200.0,17884,27822.0,33.0
560.0,211.0,2016-12-23,2017-01-25,272.95,206.35,218.0,1640.0,18300.0,17884,27823.0,33.0
280.0,178.0,2016-12-23,2017-01-25,180.0,160.0,160.0,400.0,18400.0,17884,27824.0,33.0
2200.0,144.75,2016-12-23,2017-01-25,173.0,139.3,154.15,106040.0,18500.0,17884,27825.0,33.0
1720.0,651.0,2016-12-23,2017-01-25,715.15,633.1,651.05,55480.0,17500.0,17884,27832.0,33.0
0.0,495.0,2016-12-23,2017-01-05,495.0,466.3,466.3,0.0,17500.0,17884,27837.0,13.0
600.0,205.6,2016-12-23,2017-01-05,239.0,192.35,203.4,600.0,17900.0,17884,27838.0,13.0
4000.0,155.0,2016-12-23,2017-01-05,200.0,140.45,185.0,5680.0,18000.0,17884,27839.0,13.0
760.0,109.15,2016-12-23,2017-01-05,134.5,81.15,120.0,760.0,18100.0,17884,27840.0,13.0
480.0,85.0,2016-12-23,2017-01-05,113.6,80.75,95.0,520.0,18200.0,17884,27841.0,13.0
4640.0,60.05,2016-12-23,2017-01-05,86.0,58.0,72.0,4640.0,18300.0,17884,27842.0,13.0
120.0,42.8,2016-12-23,2017-01-05,60.0,42.0,60.0,120.0,18400.0,17884,27843.0,13.0
2640.0,33.15,2016-12-23,2017-01-05,49.85,29.4,47.0,13960.0,18500.0,17884,27844.0,13.0
-50720.0,5.4,2016-12-23,2016-12-29,9.1,4.45,9.1,635120.0,18500.0,17884,27858.0,6.0
21240.0,8.25,2016-12-23,2016-12-29,16.25,6.5,16.25,293400.0,18400.0,17884,27859.0,6.0
-58840.0,14.8,2016-12-23,2016-12-29,25.9,12.1,25.15,247440.0,18300.0,17884,27860.0,6.0
87040.0,26.35,2016-12-23,2016-12-29,45.2,22.0,40.45,428080.0,18200.0,17884,27861.0,6.0
32680.0,46.9,2016-12-23,2016-12-29,76.1,40.0,63.95,195960.0,18100.0,17884,27862.0,6.0
93720.0,78.95,2016-12-23,2016-12-29,118.75,68.0,71.75,450800.0,18000.0,17884,27863.0,6.0
45880.0,122.7,2016-12-23,2016-12-29,173.0,106.45,151.0,115520.0,17900.0,17884,27864.0,6.0
32080.0,180.4,2016-12-23,2016-12-29,240.0,159.25,206.3,48000.0,17800.0,17884,27865.0,6.0
5000.0,251.4,2016-12-23,2016-12-29,315.0,225.05,277.4,11040.0,17700.0,17884,27866.0,6.0
2880.0,328.4,2016-12-23,2016-12-29,393.4,265.05,337.0,6000.0,17600.0,17884,27867.0,6.0
-1920.0,414.55,2016-12-23,2016-12-29,495.0,381.0,430.0,68920.0,17500.0,17884,27868.0,6.0
320.0,580.3,2016-12-23,2016-12-29,580.3,466.95,508.6,2560.0,17400.0,17884,27869.0,6.0
0.0,628.35,2016-12-23,2016-12-29,666.45,573.25,600.55,440.0,17300.0,17884,27870.0,6.0
40.0,706.9,2016-12-23,2016-12-29,714.0,706.9,714.0,1160.0,17200.0,17884,27871.0,6.0
800.0,150.0,2016-12-26,2017-01-25,244.1,135.85,185.55,2440.0,18300.0,17655.55,27894.0,30.0
-120.0,174.95,2016-12-26,2017-01-25,205.55,170.2,205.55,2680.0,18200.0,17655.55,27895.0,30.0
960.0,213.85,2016-12-26,2017-01-25,226.75,213.0,220.0,960.0,18100.0,17655.55,27896.0,30.0
42000.0,251.1,2016-12-26,2017-01-25,305.0,242.35,301.25,167840.0,18000.0,17655.55,27897.0,30.0
600.0,295.0,2016-12-26,2017-01-25,321.35,274.7,321.35,1400.0,17900.0,17655.55,27898.0,30.0
360.0,387.5,2016-12-26,2017-01-25,387.5,345.0,360.0,400.0,17800.0,17655.55,27899.0,30.0
20320.0,517.9,2016-12-26,2017-01-25,613.0,493.0,613.0,75800.0,17500.0,17655.55,27900.0,30.0
13920.0,876.35,2016-12-26,2017-01-25,922.55,835.0,874.9,24320.0,17000.0,17655.55,27901.0,30.0
1320.0,24.95,2016-12-26,2017-01-05,41.5,19.3,41.5,5960.0,18300.0,17655.55,27910.0,10.0
5440.0,33.8,2016-12-26,2017-01-05,56.55,30.0,56.55,5960.0,18200.0,17655.55,27911.0,10.0
3840.0,45.7,2016-12-26,2017-01-05,75.5,37.1,74.0,4600.0,18100.0,17655.55,27912.0,10.0
71280.0,63.85,2016-12-26,2017-01-05,118.0,55.0,118.0,76960.0,18000.0,17655.55,27913.0,10.0
2920.0,96.1,2016-12-26,2017-01-05,145.2,80.0,143.75,3520.0,17900.0,17655.55,27914.0,10.0
3200.0,133.1,2016-12-26,2017-01-05,155.35,119.0,146.95,3200.0,17800.0,17655.55,27915.0,10.0
5720.0,180.65,2016-12-26,2017-01-05,216.45,165.9,204.0,5720.0,17700.0,17655.55,27916.0,10.0
720.0,233.7,2016-12-26,2017-01-05,260.0,228.25,239.75,720.0,17600.0,17655.55,27917.0,10.0
5480.0,312.55,2016-12-26,2017-01-05,375.0,285.6,375.0,5480.0,17500.0,17655.55,27918.0,10.0
-37680.0,3.95,2016-12-26,2016-12-29,12.0,3.25,12.0,209760.0,18300.0,17655.55,27924.0,3.0
3120.0,5.5,2016-12-26,2016-12-29,15.05,5.05,15.0,431200.0,18200.0,17655.55,27925.0,3.0
81200.0,8.75,2016-12-26,2016-12-29,28.4,7.85,28.35,277160.0,18100.0,17655.55,27926.0,3.0
239120.0,15.6,2016-12-26,2016-12-29,55.0,14.1,54.95,689920.0,18000.0,17655.55,27927.0,3.0
166880.0,27.9,2016-12-26,2016-12-29,86.65,24.5,86.25,282400.0,17900.0,17655.55,27928.0,3.0
358920.0,51.25,2016-12-26,2016-12-29,185.1,42.05,185.1,406920.0,17800.0,17655.55,27929.0,3.0
243520.0,90.15,2016-12-26,2016-12-29,179.8,77.95,166.45,254560.0,17700.0,17655.55,27930.0,3.0
60640.0,147.65,2016-12-26,2016-12-29,256.25,134.3,237.05,66640.0,17600.0,17655.55,27931.0,3.0
54960.0,216.95,2016-12-26,2016-12-29,414.05,202.0,341.95,123880.0,17500.0,17655.55,27932.0,3.0
