Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
02-Dec-2016,18329.4,18490.5,18163.8,18247.65,84312899,2455.65
05-Dec-2016,18245.0,18434.25,18189.5,18408.9,45765934,1417.16
06-Dec-2016,18459.7,18499.75,18365.95,18420.9,55031739,1519.75
07-Dec-2016,18515.5,18588.75,17952.6,18234.15,100890980,2738.11
08-Dec-2016,18342.6,18558.75,18336.95,18515.45,55661159,1715.5
09-Dec-2016,18567.95,18739.65,18432.3,18695.8,75645795,2199.26
12-Dec-2016,18616.05,18616.05,18364.05,18392.95,53579188,1551.39
13-Dec-2016,18354.1,18492.85,18291.35,18466.05,54727502,1660.6
14-Dec-2016,18480.35,18485.45,18322.9,18341.5,56292640,1882.96
15-Dec-2016,18143.5,18532.0,18122.1,18401.15,82787720,2794.29
16-Dec-2016,18417.9,18428.45,18268.3,18312.8,81868151,3056.57
19-Dec-2016,18258.1,18316.8,18215.5,18257.05,37244360,1174.33
20-Dec-2016,18264.1,18274.9,18009.8,18069.4,53850831,1649.45
21-Dec-2016,18124.6,18167.15,18043.95,18084.5,45881955,1491.46
22-Dec-2016,18027.0,18029.6,17839.75,17891.45,50280389,1521.6
23-Dec-2016,17849.25,17962.3,17819.75,17884.0,53610316,1594.4
26-Dec-2016,17825.5,17860.85,17606.9,17655.55,45887571,1309.95
27-Dec-2016,17677.7,17907.35,17616.1,17879.55,50265645,1457.14
28-Dec-2016,17929.2,18059.65,17829.15,17876.7,57498370,1692.18
29-Dec-2016,17861.45,18053.3,17829.4,18033.15,83313390,2141.23
30-Dec-2016,18026.35,18245.75,18016.8,18177.2,54349583,1546.86
02-Jan-2017,18242.3,18249.0,17844.9,17969.6,       74444730,         1857.24
03-Jan-2017,18002.75,18115.05,17830.95,18035.6,       64513818,         1769.30
04-Jan-2017,18037.45,18092.85,17868.9,17891.0,       50508161,         1615.85
05-Jan-2017,18000.75,18164.05,17977.8,18115.95,       68874940,         2271.18
06-Jan-2017,18168.45,18325.5,18157.3,18264.0,       65919927,         2174.59
09-Jan-2017,18314.25,18373.1,18256.15,18286.65,       42677260,         1404.38
10-Jan-2017,18351.45,18441.15,18275.75,18409.6,       59993426,         2012.18
11-Jan-2017,18535.35,18889.45,18515.25,18830.0,      102842482,         3493.47
12-Jan-2017,18885.45,18966.3,18805.85,18873.95,       66286062,         1982.54
13-Jan-2017,18949.7,18952.25,18781.25,18912.1,       55762182,         1855.30
16-Jan-2017,18899.7,19134.5,18865.25,19096.45,       59319825,         1740.77
